route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,route_variant
04250625-47,20250625,20250625-47-47514,47G - Erin Mills,,0,MDDS1142,388876,1,1,47G
04250625-18,20250625,20250625-18-18901,18 - Hamilton GO,,1,MDDS1141,388773,1,1,18
04250625-56,20250625,20250625-56-56720,56 - Oakville GO,,1,MDDS1141,388893,1,1,56
04250625-41,20250625,20250625-41-41502,41B - Centennial College,,0,MDDS1141,388870,1,1,41B
04250625-41,20250625,20250625-41-41731,41 - Hamilton GO,,1,MDDS1140,388871,1,1,41
04250625-56,20250625,20250625-56-56311,56 - DC Oshawa GO,,0,MDDS9119,388896,1,1,56
04250625-56,20250625,20250625-56-56120,56 - Oakville GO,,1,MDDS9119,388893,1,1,56
04250625-41,20250625,20250625-41-41350,41 - Pickering GO,,0,MDDS9118,388869,1,1,41
04250625-41,20250625,20250625-41-41141,41 - Hamilton GO,,1,MDDS9118,388871,1,1,41
04250625-56,20250625,20250625-56-56291,56 - DC Oshawa GO,,0,MDDS9117,388896,1,1,56
04250625-68,20250625,20250625-68-68930,68B - East Gwillimbury GO,,1,MDDS6106,388924,1,1,68B
04250625-68,20250625,20250625-68-68713,68 - Barrie Terminal,,0,MDDS6106,388926,1,1,68
04250625-65,20250625,20250625-65-65620,65 - Union Station,,1,MDDS6106,388903,1,1,65
04250625-70,20250625,20250625-70-70861,70D - Uxbridge,,0,MDDS6105,388933,1,1,70D
04250625-67,20250625,20250625-67-67701,67 - Woodbine/404,,0,MDDS6105,388919,1,1,67
04250625-65,20250625,20250625-65-65520,65 - Union Station,,1,MDDS6105,388903,1,1,65
04250625-61,20250625,20250625-61-61721,61 - Bloomington GO,,0,MDDS6104,388899,1,1,61
04250625-65,20250625,20250625-65-65670,65 - Union Station,,1,MDDS6104,388903,1,1,65
04250625-66,20250625,20250625-66-66441,66 - East Gwillimbury GO,,0,MDDS6104,388916,1,1,66
04250625-66,20250625,20250625-66-66610,66 - Hwy. 407 Bus Term,,1,MDDS6104,388917,1,1,66
04250625-61,20250625,20250625-61-61341,61 - Bloomington GO,,0,MDDS6103,388899,1,1,61
04250625-61,20250625,20250625-61-61320,61 - Union Station,,1,MDDS6103,388900,1,1,61
04250625-67,20250625,20250625-67-67170,67 - Finch Terminal,,1,MDDS6103,388918,1,1,67
04250625-66,20250625,20250625-66-66251,66 - East Gwillimbury GO,,0,MDDS6102,388916,1,1,66
04250625-66,20250625,20250625-66-66280,66 - Hwy. 407 Bus Term,,1,MDDS6102,388917,1,1,66
04250625-65,20250625,20250625-65-65031,65 - East Gwillimbury GO,,0,MDDS6102,388901,1,1,65
04250625-33,20250625,20250625-33-33541,33E - Georgetown GO,,1,MDDS5143,388854,1,1,33E
04250625-40,20250625,20250625-40-40860,40 - Richmond Hill Ctr,,0,MDDS5142,388864,1,1,40
04250625-40,20250625,20250625-40-40751,40 - Hamilton GO,,1,MDDS5142,388865,1,1,40
04250625-40,20250625,20250625-40-40650,40 - Richmond Hill Ctr,,0,MDDS5142,388864,1,1,40
04250625-40,20250625,20250625-40-40501,40 - Hamilton GO,,1,MDDS5142,388865,1,1,40
04250625-40,20250625,20250625-40-40790,40 - Richmond Hill Ctr,,0,MDDS5141,388864,1,1,40
04250625-16,20250625,20250625-16-16721,16 - Hamilton GO,,1,MDDS5141,388768,1,1,16
04250625-71,20250625,20250625-71-71650,71E - Union Station,,1,MDDS5141,388934,1,1,71E
04250625-54,20250625,20250625-54-54491,54 - Mount Joy GO,,0,MDDS5141,388890,1,1,54
04250625-40,20250625,20250625-40-40750,40 - Richmond Hill Ctr,,0,MDDS5140,388864,1,1,40
04250625-41,20250625,20250625-41-41471,41 - Hamilton GO,,1,MDDS5140,388871,1,1,41
04250625-41,20250625,20250625-41-41680,41 - Pickering GO,,0,MDDS5139,388869,1,1,41
04250625-40,20250625,20250625-40-40461,40 - Hamilton GO,,1,MDDS5139,388865,1,1,40
04250625-30,20250625,20250625-30-30790,30 - Hwy. 407 Bus Term,,0,MDDS5138,388823,1,1,30
04250625-25,20250625,20250625-25-25731,25 - U of Waterloo,,1,MDDS5138,388809,1,1,25
04250625-29,20250625,20250625-29-29720,29A - Square One,,0,MDDS5138,388817,1,1,29A
04250625-27,20250625,20250625-27-27780,27B - Finch Terminal,,0,MDDS3150,388815,1,1,27B
04250625-31,20250625,20250625-31-31961,31E - Georgetown GO,,1,MDDS3149,388827,1,1,31E
04250625-31,20250625,20250625-31-31910,31E - Union Station,,0,MDDS3149,388831,1,1,31E
04250625-33,20250625,20250625-33-33851,33B - Mount Pleasant GO,,1,MDDS3149,388853,1,1,33B
04250625-21,20250625,20250625-21-21660,21 - Union Station,,0,MDDS3149,388798,1,1,21
04250625-27,20250625,20250625-27-27540,27A - Finch Terminal,,0,MDDS3144,388816,1,1,27A
04250625-32,20250625,20250625-32-32531,32 - Trinity Common,,1,MDDS3143,388840,1,1,32
04250625-19,20250625,20250625-19-19470,19 - Finch Terminal,,0,MDDS3143,388788,1,1,19
04250625-21,20250625,20250625-21-21863,21E - Lisgar GO,,1,MDDS3142,388800,1,1,21E
04250625-21,20250625,20250625-21-21790,21 - Union Station,,0,MDDS3142,388798,1,1,21
04250625-21,20250625,20250625-21-21715,21A - Milton GO,,1,MDDS3142,388791,1,1,21A
04250625-21,20250625,20250625-21-21620,21 - Union Station,,0,MDDS3142,388798,1,1,21
04250625-22,20250625,20250625-22-22511,22 - Milton GO,,0,MDDS3142,388803,1,1,22
04250625-41,20250625,20250625-41-41525,41C - Square One,,1,MDDS3141,388868,1,1,41C
04250625-41,20250625,20250625-41-41442,41C - Centennial College,,0,MDDS3141,388873,1,1,41C
04250625-18,20250625,20250625-18-18641,18 - Hamilton GO,,1,MDDS3140,388773,1,1,18
04250625-12,20250625,20250625-12-12652,12B - Burlington GO,,0,MDDS3140,388760,1,1,12B
04250625-12,20250625,20250625-12-12483,12B - Niagara Falls,,1,MDDS3140,388759,1,1,12B
04250625-33,20250625,20250625-33-33831,33E - Georgetown GO,,1,MDDS3139,388854,1,1,33E
04250625-40,20250625,20250625-40-40630,40 - Richmond Hill Ctr,,0,MDDS3139,388864,1,1,40
